ID	PG.ProteinDescriptions	PG.Qvalue	PCK1	PCK2	PCK3	PCK4	PCK5	PHC1	PHC2	PHC3	PHC4	PHC5	CK1	CK2	CK3	CK4	CK5	HC1	HC2	HC3	HC4	HC5
Q9TSH5	Kininogen (Fragment) OS=Bos taurus OX=9913	0.008966026	40469.27734	4071.747559	1.678942084	1.205141902	38253.78906	98416.73438	226598.7344	3376.277344	1288.989624	50564.82813	88879.83594	587.2329102	1	1	57707.07422	120474.0625	272242.75	4835.026855	924.3603516	107791.4531
P04815	Spleen trypsin inhibitor I OS=Bos taurus OX=9913	0.000345987	9652.435547	10822.35938	7887.869141	3480.812256	8983.107422	4177.274414	14719.10645	6157.692871	21117.95703	12550.11328	8777.44043	7873.895996	13227.19336	6064.366699	3254.216553	8046.154785	15876.04688	10364.90332	22963.53906	7395.306641
P25326	Cathepsin S OS=Bos taurus OX=9913	0.002854746	1312.709961	268.0244446	874.0279541	985.2538452	377.4613953	1427.956299	607.262146	825.4212646	1603.074707	1676.481445	2371.779297	1171.736938	561.4814453	633.2158813	702.8103638	1492.36145	1392.952515	1151.665894	2439.038574	1561.393066
1ATT_A	unnamed protein product	0.06051006	709.7523193	1243.730713	4.044751167	1	1	2.858686924	695.2788086	1	1	1042.453125	4896.757813	1095.175415	364.9729919	1	1	1	1	1	203.9359589	316.0183716
B5B0D4	Major allergen beta-lactoglobulin OS=Bos taurus OX=9913	0.002463118	2687.250244	868.7059326	1880.720215	2422.056885	1179.245361	900.3490601	5255.684082	1.038507938	8081.486816	5017.487793	1.504442334	31679.33594	159.7096558	862.7394409	351.3360901	5543.697266	5337.901367	7705.622559	24909.20703	17659.21875
Q862Q3	Beta-2-microglobulin (Fragment) OS=Bos taurus OX=9913	0.002463118	23508.53516	19486.69727	22828.375	22294.01367	12482.75879	25492.96875	28210.41797	28262.41406	21330.39844	31554.05469	21230.87891	23679.44727	42000.14844	23548.80273	11949.10352	23173.05469	24022.06836	22723.80859	16799.47656	23486.67383
A7YWU8	CPB1 protein OS=Bos taurus OX=9913	0.002463118	7031.985352	7881.962402	5336.932617	5036.837402	6446.019531	7132.164551	11833.74023	13282.30176	11623.24121	15941.21484	8452.477539	7445.678711	7571.174316	7494.869141	11634.99219	6639.313965	8340.973633	11032.15918	14705.33008	17004.02734
Q3SZZ9	FGG protein OS=Bos taurus OX=9913	0.001020161	1439.041626	1478.602783	20560.41797	593.5980835	1050.47937	3359.44873	1766.119751	21974.49609	1423.929443	27845.13281	1815.279785	13844.29102	53231.51563	2553.484375	5190.133789	4462.46582	4362.393555	3136.366211	5576.964355	5184.973633
A0A1K0FUD3	Globin C1 OS=Bos taurus OX=9913	0.002463118	133540.1406	1286399	204182.0313	106046.1328	482663.3438	537225.4375	363986.75	93793.125	109960.2344	246175.7031	89993.91406	252544.9063	437897.4063	174921.7344	238507.6094	139397.9375	177974.5781	157634.5938	201759.7656	245464.0469
P21752	Thymosin beta-10 OS=Bos taurus OX=9913	0.042241977	1691.250366	1.331690073	1	1160.553711	936.2194214	1.162338972	672.2901001	1.046700716	438.589447	510.8395386	1090.294434	1	2423.053223	1.364287972	1	244.0623932	1	1	1.129960299	1.121175051
